2026-05-21 10:04:40 | INFO     | spider.longchau | Trang 47: 11 sản phẩm
2026-05-21 10:04:40 | INFO     | spider.longchau | Lấy danh sách trang 48: https://nhathuoclongchau.com.vn/thuoc?page=48
2026-05-21 10:04:43 | INFO     | spider.longchau | Trang 48: 11 sản phẩm
2026-05-21 10:04:43 | INFO     | spider.longchau | Lấy danh sách trang 49: https://nhathuoclongchau.com.vn/thuoc?page=49
2026-05-21 10:04:47 | INFO     | spider.longchau | Trang 49: 11 sản phẩm
2026-05-21 10:04:47 | INFO     | spider.longchau | Lấy danh sách trang 50: https://nhathuoclongchau.com.vn/thuoc?page=50
2026-05-21 10:04:51 | INFO     | spider.longchau | Trang 50: 11 sản phẩm
2026-05-21 10:04:51 | INFO     | spider.longchau | Lấy danh sách trang 51: https://nhathuoclongchau.com.vn/thuoc?page=51
2026-05-21 10:04:55 | INFO     | spider.longchau | Trang 51: 11 sản phẩm
2026-05-21 10:04:55 | INFO     | spider.longchau | Lấy danh sách trang 52: https://nhathuoclongchau.com.vn/thuoc?page=52
2026-05-21 10:04:59 | INFO     | spider.longchau | Trang 52: 11 sản phẩm
2026-05-21 10:04:59 | INFO     | spider.longchau | Lấy danh sách trang 53: https://nhathuoclongchau.com.vn/thuoc?page=53
2026-05-21 10:05:02 | INFO     | spider.longchau | Trang 53: 11 sản phẩm
2026-05-21 10:05:02 | INFO     | spider.longchau | Lấy danh sách trang 54: https://nhathuoclongchau.com.vn/thuoc?page=54
2026-05-21 10:05:06 | INFO     | spider.longchau | Trang 54: 11 sản phẩm
2026-05-21 10:05:06 | INFO     | spider.longchau | Lấy danh sách trang 55: https://nhathuoclongchau.com.vn/thuoc?page=55
2026-05-21 10:05:10 | INFO     | spider.longchau | Trang 55: 11 sản phẩm
2026-05-21 10:05:10 | INFO     | spider.longchau | Lấy danh sách trang 56: https://nhathuoclongchau.com.vn/thuoc?page=56
2026-05-21 10:05:14 | INFO     | spider.longchau | Trang 56: 11 sản phẩm
2026-05-21 10:05:14 | INFO     | spider.longchau | Lấy danh sách trang 57: https://nhathuoclongchau.com.vn/thuoc?page=57
2026-05-21 10:05:18 | INFO     | spider.longchau | Trang 57: 11 sản phẩm
2026-05-21 10:05:18 | INFO     | spider.longchau | Lấy danh sách trang 58: https://nhathuoclongchau.com.vn/thuoc?page=58
2026-05-21 10:05:21 | INFO     | spider.longchau | Trang 58: 11 sản phẩm
2026-05-21 10:05:21 | INFO     | spider.longchau | Lấy danh sách trang 59: https://nhathuoclongchau.com.vn/thuoc?page=59
2026-05-21 10:05:25 | INFO     | spider.longchau | Trang 59: 11 sản phẩm
2026-05-21 10:05:25 | INFO     | spider.longchau | Lấy danh sách trang 60: https://nhathuoclongchau.com.vn/thuoc?page=60
2026-05-21 10:05:29 | INFO     | spider.longchau | Trang 60: 11 sản phẩm
2026-05-21 10:05:29 | INFO     | spider.longchau | Lấy danh sách trang 61: https://nhathuoclongchau.com.vn/thuoc?page=61
2026-05-21 10:05:32 | INFO     | spider.longchau | Trang 61: 11 sản phẩm
2026-05-21 10:05:32 | INFO     | spider.longchau | Lấy danh sách trang 62: https://nhathuoclongchau.com.vn/thuoc?page=62
2026-05-21 10:05:36 | INFO     | spider.longchau | Trang 62: 11 sản phẩm
